series,split,mode,corruption_rate,accuracy,correct,total,path
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.0,0.13352941176470587,227,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.25,0.13176470588235295,224,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.5,0.1288235294117647,219,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,0.75,0.12588235294117647,214,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",ambiguous,full_mismatch,1.0,0.12588235294117647,214,1700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.0,0.3363529411764706,5718,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.25,0.33558823529411763,5705,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.5,0.33576470588235297,5708,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,0.75,0.3345294117647059,5687,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p75.jsonl
"MAPLE 1B (T+, I+)",explicit,full_mismatch,1.0,0.3337058823529412,5673,17000,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c1p0.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.0,0.3179144385026738,5945,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.25,0.3170588235294118,5929,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p25.jsonl
"MAPLE 1B (T+, I+)",overall,full_mismatch,0.5,0.316951871657754,5927,18700,/path/to/metacul/results/localnewsqa_gold_20260516/adversarial_full_mismatch/1b/localnewsqa_eval_target_with_metadata_custom_1b_tplus_adv_c0p5.jsonl
